,medline,pubmed,doi,rid,eid,pmc,pmcid,pii,mid
58,[],['29519818'],10.1534/genetics.118.300744,29519818,29519818,PMC5937183,pmc-id: PMC5937183;,genetics.118.300744,
59,[],['27088311'],10.1080/15592294.2016.1176649,27088311,27088311,PMC4939925,pmc-id: PMC4939925;,,
60,[],['31693508'],10.1097/COC.0000000000000636,31693508,31693508,,,,
61,[],['26991973'],10.1111/tpj.13169,26991973,26991973,PMC5021142,pmc-id: PMC5021142;,,
62,[],['28295025'],10.1038/srep44497,28295025,28295025,PMC5353759,pmc-id: PMC5353759;,srep44497,
63,[],['27609421'],10.1074/mcp.M116.060509,27609421,27609421,PMC5098041,pmc-id: PMC5098041;,M116.060509,
64,[],['27770554'],10.1002/hep.28879,27770554,27770554,PMC5321563,pmc-id: PMC5321563;manuscript-id: EMS71182;,,EMS71182
65,[],['27760051'],10.1172/JCI87927,27760051,27760051,PMC5096930,pmc-id: PMC5096930;,87927,
66,[],['29044509'],10.1002/jcp.26222,29044509,29044509,PMC5765508,pmc-id: PMC5765508;,,
67,[],['27463808'],10.1371/journal.pone.0160034,27463808,27463808,PMC4963112,pmc-id: PMC4963112;,PONE-D-16-13972,
68,[],['28148693'],10.1158/1078-0432.CCR-16-2605,28148693,28148693,,,23/3/870,
69,[],['25620640'],10.1016/j.stem.2014.12.006,25620640,25620640,,,S1934-5909(14)00564-5,
70,[],['27739523'],10.1038/srep34962,27739523,27739523,PMC5064413,pmc-id: PMC5064413;,srep34962,
71,[],['32727380'],10.1186/s12864-020-06942-y,32727380,32727380,PMC7392679,pmc-id: PMC7392679;,10.1186/s12864-020-06942-y,
72,[],['30116021'],10.1038/s41598-018-30739-5,30116021,30116021,PMC6095852,pmc-id: PMC6095852;,10.1038/s41598-018-30739-5,
73,[],['27629229'],10.1016/j.bbrc.2016.09.031,27629229,27629229,,,S0006-291X(16)31480-2,
74,[],['29467301'],10.1126/scitranslmed.aam7729,29467301,29467301,PMC6034655,pmc-id: PMC6034655;manuscript-id: NIHMS977911;,10/429/eaam7729,NIHMS977911
75,[],['25239220'],10.1016/j.placenta.2014.09.001,25239220,25239220,,,S0143-4004(14)00777-2,
76,[],['26808652'],10.1371/journal.pone.0147486,26808652,26808652,PMC4726666,pmc-id: PMC4726666;,PONE-D-15-51976,
